timestamp,vibration,label
2026-09-10T18:40:00Z,0.05,NORMAL
2026-09-10T18:40:01Z,0.07,NORMAL
2026-09-10T18:40:02Z,0.08,NORMAL
2026-09-10T18:40:03Z,0.06,NORMAL
2026-09-10T18:40:04Z,0.09,NORMAL
2026-09-10T18:40:05Z,0.10,NORMAL
2026-09-10T18:40:06Z,0.12,NORMAL
2026-09-10T18:40:07Z,0.11,NORMAL
2026-09-10T18:40:08Z,0.15,NORMAL
2026-09-10T18:40:09Z,0.18,NORMAL
2026-09-10T18:40:10Z,0.41,VIBRACAO_ANORMAL
2026-09-10T18:40:11Z,0.46,VIBRACAO_ANORMAL
2026-09-10T18:40:12Z,0.55,VIBRACAO_ANORMAL
2026-09-10T18:40:13Z,0.62,VIBRACAO_ANORMAL
2026-09-10T18:40:14Z,0.82,VIBRACAO_ANORMAL
2026-09-10T18:40:15Z,0.91,VIBRACAO_ANORMAL
2026-09-10T18:40:16Z,0.86,VIBRACAO_ANORMAL
2026-09-10T18:40:17Z,0.73,VIBRACAO_ANORMAL
2026-09-10T18:40:18Z,0.38,VIBRACAO_ANORMAL
2026-09-10T18:40:19Z,0.19,NORMAL
2026-09-10T18:40:20Z,0.10,NORMAL
2026-09-10T18:40:21Z,0.07,NORMAL
